"What is the capital of France?","Berlin","London","Paris","Rome",2
"Which planet is known as the Red Planet?","Earth","Mars","Jupiter","Venus",1
"Who wrote the play 'Romeo and Juliet'?","William Wordsworth","William Shakespeare","Charles Dickens","Jane Austen",1
"What is the largest ocean on Earth?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean",3
"What is the chemical symbol for water?","O2","H2O","CO2","HO2",1
"Which country hosted the 2016 Summer Olympics?","China","Brazil","United Kingdom","Russia",1
"What is the square root of 144?","10","11","12","14",2
"Who painted the Mona Lisa?","Vincent van Gogh","Pablo Picasso","Leonardo da Vinci","Claude Monet",2
"What gas do plants absorb from the atmosphere?","Oxygen","Nitrogen","Carbon Dioxide","Hydrogen",2
"Which language has the most native speakers worldwide?","English","Spanish","Mandarin Chinese","Hindi",2
"In computing, what does 'HTTP' stand for?","HyperText Transfer Protocol","High Text Transfer Process","Hyperlink Transfer Protocol","Host Transfer Text Protocol",0
"Who discovered penicillin?","Marie Curie","Alexander Fleming","Louis Pasteur","Isaac Newton",1
"Which continent is the Sahara Desert located on?","Asia","South America","Africa","Australia",2
"What is the currency of Japan?","Yen","Won","Dollar","Ruble",0
"Which element has the atomic number 1?","Helium","Hydrogen","Oxygen","Carbon",1
"Who is known as the 'Father of Computers' for early mechanical computing concepts?","Alan Turing","Charles Babbage","John von Neumann","Steve Jobs",1
"Which city is home to the Colosseum?","Athens","Istanbul","Rome","Barcelona",2
"What is the process by which plants make food using sunlight?","Respiration","Transpiration","Photosynthesis","Fermentation",2
"Which organ pumps blood throughout the human body?","Lungs","Liver","Kidney","Heart",3
"Which year did the first man land on the Moon?","1965","1969","1972","1959",1
"What is the longest river in the world?","Amazon","Nile","Yangtze","Mississippi",1
"In music, how many semitones are in an octave?","8","10","12","16",2
"Which metal is liquid at room temperature?","Gold","Mercury","Iron","Aluminum",1
"What is the main language spoken in Brazil?","Spanish","Portuguese","French","English",1
"Who developed the theory of relativity?","Niels Bohr","Albert Einstein","Galileo Galilei","Nikola Tesla",1
"Which organelle is known as the powerhouse of the cell?","Nucleus","Mitochondria","Ribosome","Golgi apparatus",1
"What is the tallest mountain in the world above sea level?","K2","Mount Everest","Kangchenjunga","Lhotse",1
"Which sport uses terms like 'birdie', 'eagle', and 'par'?","Tennis","Golf","Basketball","Baseball",1
"What is the chemical symbol for gold?","Au","Ag","Gd","Go",0
"Which famous scientist formulated the laws of motion and universal gravitation?","Albert Einstein","Isaac Newton","Marie Curie","James Clerk Maxwell",1
